"Ürün Adı","Malzeme Kodu",Depo,Raf,Adet
"BROTHER 277 TN277M MAGENTA(PEMBE) KARTUŞ",150,1,YOK,10
"ONVO 85 İNÇ TELEVİZYON ",YOK,1,YOK,4
"LG TELEVİZYON",YOK,1,YOK,1
"300 MBPS TAVAN TİPİ ROUTER ACCESS POİNT ",YOK,1,YOK,16
"8 PORT 1000 MBPS SWİTCH",YOK,1,YOK,20
"32 AMPER GEÇİKMELİ SİGORTA (C TİPİ)",YOK,1,YOK,9
"NETALLY NETWORK TEST CİHAZI",YOK,1,YOK,2
"USB TYPE-C GİGABİT ETHERNET DÖNÜŞTÜRÜCÜ",YOK,1,YOK,2
"TELEFON NETWORK BAĞLANTI PENSESİ",YOK,1,YOK,3
"91 PARÇA EL ALETİ ÇANTASI FULL SET",YOK,1,YOK,0
"ÇİTF TARAFLI BANT (10MM × 5M)",YOK,1,YOK,15
"CIRT KELEPÇE ORTA BOY (200×7.5MM)",YOK,1,YOK,500
"SİYAH ELEKTRİK BANT",YOK,1,YOK,50
"DELL LAPTOP DOCKİNG",YOK,1,YOK,0
"LOJİTECH 1+1 HOPÖRLER ",YOK,1,YOK,19
"32 GB USB FLASH BELLEK",YOK,1,YOK,20
"XEROX YAZICI HDD KABLO",YOK,1,YOK,6
"KYOCERA 623R702010 BASE DP",YOK,1,YOK,2
"KYOCERA CERA623R707021 GUIDE LIFT",YOK,1,YOK,1
"KYOCERA 623R724010 HOUSING CONVEYING ",YOK,1,YOK,1
"KYOCERA 622ND93080 FUSER UNIT",YOK,1,YOK,2
"KONICA MINOLTA C287 KASET PATENİ",YOK,1,YOK,6
"10000MAH EKRANLI KABLOSUZ POWERBANK",YOK,1,YOK,100
"KYOCERA KAT YAZICI ANAKART",YOK,1,YOK,1
"BROTHER TN-277BK SİYAH ORJİNAL TONER",YOK,1,YOK,8
"BROTHER TN-277C MAVİ ORJİNAL TONER",YOK,1,YOK,10
"BROTHER TN277Y SARI ORJİNAL TONER",YOK,1,YOK,11
"3 METRE C13 POWER KABLO",YOK,1,YOK,14
"5 METRE C13 POWER KABLO",YOK,1,YOK,5
"WD 2TB USB 3.0 HARDDİSK",YOK,1,YOK,13
"RİCOH MP5002SP PAPER FEED ROLLER",YOK,1,YOK,2
"RİCOH MP5002SP PİCK UP ROLLER",YOK,1,YOK,2
"RİCOH MP5002SP SEPERATİON ROLLER",YOK,1,YOK,2
"RİCOH MP5002SP REGİSTİRATİON BUSHİNG ",YOK,1,YOK,2
"RİCOH MP5002SPADF FEED BELT",YOK,1,YOK,1
"RİCOH MP5002SP ADF PİCK UP ROLLER",YOK,1,YOK,1
"RİCOH MP5002SP ADF REVERSE ROLLER",YOK,1,YOK,1
"VESTEL TELEVİZYON",YOK,1,YOK,1
"DELL ALL İN ONE BİLGİSAYAR",YOK,1,YOK,93
"LOJİTECH KLAVYE ",YOK,1,YOK,50
"ASUS LAPTOP",YOK,1,YOK,63
"BROTHER YAZICI",YOK,1,YOK,3
"FUJİTSİ SP SERİES ",YOK,1,YOK,8
"BROTHER DR-273CL-CMY DRUM (CMY KARTUŞLAR İÇİN",YOK,1,YOK,20
"S LİNK HDMİ KABLO",YOK,1,YOK,39
"TP LİNK 8 PORT GİGABİT",YOK,1,YOK,17
"KABLOLU OPTİK MOUSE FRİSBY ",YOK,1,YOK,52
"FUJİTSİ TARAYICI",YOK,1,YOK,1
"KONİCA SİYAH TONER",YOK,1,YOK,2
"KONİCA PEMBE (MAGENTA) TONER",YOK,1,YOK,3
"KONİCA MAVİ (CYAN) TONER",YOK,1,YOK,5
"KONİCA SARI (YELLOW)",YOK,1,YOK,7
"BROTHER DR-273CL-BK DRUM (SİYAH KARTUŞ İÇİN)",Yok,1,Yok,6
Leblebi,150,1,Hdjdj,3888
